TASK 2.1 — USER SESSION RECONSTRUCTION SUMMARY	
======================================================================	
  Total sessions reconstructed  : 191,742	
  Average session duration      : 19.5 minutes	
  Conversion rate               : 20.0%	
  Average events per session    : 5.3	
  Average revenue/converted sess: $530.75	
  Total converted sessions      : 38,329	
  Total revenue                 : $20,343,067.25	
	
======================================================================	
GOLDEN SESSION PATTERN ANALYSIS	
======================================================================	
  Device      Source        Sessions   Conv Rate  Avg Duration  Avg Events	
----------------------------------------------------------------------	
  tablet      direct           6,027       21.0%         20.0m         5.3	
  mobile      social          13,075       20.8%         19.6m         5.3	
  mobile      search          29,095       20.4%         19.6m         5.3	
  mobile      direct          19,807       20.2%         19.7m         5.3	
  desktop     social          13,162       20.1%         19.5m         5.2	
  desktop     ads             12,460       20.1%         19.5m         5.2	
  desktop     search          28,563       19.9%         19.5m         5.2	
  desktop     direct          20,586       19.8%         19.6m         5.3	
  mobile      ads             12,778       19.8%         19.6m         5.3	
  mobile      email            8,937       19.7%         19.2m         5.2	
  desktop     email            8,980       19.5%         19.3m         5.2	
  tablet      search           8,318       19.3%         19.4m         5.2	
  tablet      email            2,480       19.0%         19.3m         5.2	
  tablet      social           3,857       18.6%         19.5m         5.2	
  tablet      ads              3,617       18.4%         19.4m         5.2	
	
======================================================================	
GOLDEN SESSION PATTERN (Highest Conversion Rate)	
======================================================================	
  Device         : tablet	
  Traffic Source : direct	
  Conversion Rate: 21.0%	
  Avg Duration   : 20.0 minutes	
  Avg Events     : 5.3 per session	
	
  RECOMMENDATIONS:	
  -> Optimize tablet experience for direct traffic	
  -> Target direct campaigns to drive tablet users	
  -> Design sessions around 20-minute engagement window	
  -> Aim for 5 events per session to maximize conversion	
======================================================================	
session_id,user_id,start_time,end_time,duration_minutes,event_count,converted,total_revenue,device_type,traffic_source	
SESS_00000001,U00000000,2026-03-03 23:22:55,2026-03-03 23:40:02,17.1,5,0,0.00,mobile,search	
SESS_00000002,U00000000,2026-03-04 19:22:55,2026-03-04 19:41:23,18.5,9,1,1702.61,mobile,ads	
SESS_00000003,U00000000,2026-03-06 04:22:55,2026-03-06 04:33:24,10.5,5,0,0.00,mobile,ads	
SESS_00000004,U00000000,2026-03-07 17:25:59,2026-03-07 17:36:31,10.5,4,0,0.00,mobile,ads	
SESS_00000005,U00000000,2026-03-08 12:27:13,2026-03-08 12:41:46,14.6,4,0,0.00,mobile,ads	
SESS_00000006,U00000000,2026-03-09 20:26:52,2026-03-09 20:46:56,20.1,5,0,0.00,mobile,ads	
SESS_00000007,U00000000,2026-03-11 00:22:55,2026-03-11 00:49:50,26.9,4,0,0.00,mobile,ads	
SESS_00000008,U00000000,2026-03-12 21:22:55,2026-03-12 21:38:29,15.6,7,0,0.00,desktop,ads	
SESS_00000009,U00000000,2026-03-14 20:27:35,2026-03-14 20:32:28,4.9,3,0,0.00,mobile,ads	
SESS_00000010,U00000001,2026-02-28 23:29:42,2026-02-28 23:45:51,16.1,3,0,0.00,desktop,social	
SESS_00000011,U00000001,2026-03-03 00:22:55,2026-03-03 00:22:55,0.0,1,0,0.00,desktop,social	
SESS_00000012,U00000001,2026-03-05 11:22:55,2026-03-05 11:36:03,13.1,4,0,0.00,desktop,social	
SESS_00000013,U00000001,2026-03-07 18:26:43,2026-03-07 18:30:57,4.2,2,0,0.00,desktop,social	
SESS_00000014,U00000002,2026-03-01 23:22:55,2026-03-01 23:52:16,29.4,7,0,0.00,desktop,search	
SESS_00000015,U00000002,2026-03-03 10:22:55,2026-03-03 11:00:03,37.1,8,1,465.21,desktop,search	
SESS_00000016,U00000002,2026-03-04 19:22:55,2026-03-04 19:42:20,19.4,5,0,0.00,desktop,search	
SESS_00000017,U00000002,2026-03-06 06:22:55,2026-03-06 06:49:21,26.4,8,0,0.00,desktop,search	
SESS_00000018,U00000002,2026-03-07 20:27:31,2026-03-07 20:34:39,7.1,4,0,0.00,desktop,search	
SESS_00000019,U00000002,2026-03-09 13:29:44,2026-03-09 13:47:19,17.6,5,0,0.00,desktop,search	
SESS_00000020,U00000002,2026-03-09 22:28:43,2026-03-09 22:50:06,21.4,4,0,0.00,desktop,search	
SESS_00000021,U00000002,2026-03-10 21:22:55,2026-03-10 21:22:55,0.0,1,0,0.00,desktop,search	
SESS_00000022,U00000002,2026-03-11 18:26:18,2026-03-11 18:49:48,23.5,7,0,0.00,mobile,search	
SESS_00000023,U00000003,2026-02-27 23:22:55,2026-02-27 23:53:33,30.6,5,0,0.00,desktop,direct	
SESS_00000024,U00000003,2026-02-28 00:02:39,2026-02-28 00:02:39,0.0,1,0,0.00,desktop,direct	
SESS_00000025,U00000003,2026-02-28 20:22:55,2026-02-28 20:52:45,29.8,11,0,0.00,desktop,direct	
SESS_00000026,U00000003,2026-03-01 07:27:24,2026-03-01 08:03:34,36.2,8,0,0.00,desktop,direct	
SESS_00000027,U00000003,2026-03-01 11:22:55,2026-03-01 11:59:24,36.5,9,0,0.00,desktop,direct	
SESS_00000028,U00000003,2026-03-02 10:22:55,2026-03-02 11:18:06,55.2,14,1,706.38,desktop,direct	
SESS_00000029,U00000003,2026-03-03 02:22:55,2026-03-03 03:01:44,38.8,6,1,766.71,desktop,direct	
SESS_00000030,U00000003,2026-03-03 21:30:53,2026-03-03 21:58:55,28.0,7,0,0.00,desktop,direct	
SESS_00000031,U00000003,2026-03-04 09:22:55,2026-03-04 10:01:50,38.9,8,0,0.00,desktop,direct	
SESS_00000032,U00000003,2026-03-04 16:22:55,2026-03-04 17:09:57,47.0,8,0,0.00,desktop,direct	
SESS_00000033,U00000003,2026-03-04 18:22:55,2026-03-04 18:41:56,19.0,3,0,0.00,desktop,direct	
SESS_00000034,U00000003,2026-03-05 12:31:05,2026-03-05 13:09:41,38.6,6,0,0.00,desktop,direct	
SESS_00000035,U00000003,2026-03-05 22:22:55,2026-03-05 23:15:12,52.3,11,1,66.14,desktop,direct	
SESS_00000036,U00000003,2026-03-06 10:22:55,2026-03-06 11:08:30,45.6,15,0,0.00,desktop,direct	
SESS_00000037,U00000003,2026-03-06 13:27:57,2026-03-06 13:46:30,18.6,4,0,0.00,desktop,direct	
SESS_00000038,U00000003,2026-03-07 07:27:06,2026-03-07 08:06:13,39.1,10,1,690.04,desktop,search	
SESS_00000039,U00000003,2026-03-07 10:34:53,2026-03-07 10:37:16,2.4,3,0,0.00,desktop,direct	
SESS_00000040,U00000003,2026-03-08 04:32:28,2026-03-08 04:40:14,7.8,3,0,0.00,desktop,direct	
SESS_00000041,U00000003,2026-03-08 12:22:55,2026-03-08 13:11:41,48.8,9,1,33.11,desktop,direct	
SESS_00000042,U00000003,2026-03-08 23:22:55,2026-03-08 23:56:54,34.0,5,0,0.00,tablet,direct	
SESS_00000043,U00000003,2026-03-09 00:12:34,2026-03-09 00:12:34,0.0,1,0,0.00,tablet,direct	
SESS_00000044,U00000003,2026-03-09 09:24:45,2026-03-09 09:37:18,12.6,3,0,0.00,desktop,direct	
SESS_00000045,U00000003,2026-03-09 16:26:45,2026-03-09 16:54:51,28.1,13,0,0.00,desktop,direct	
SESS_00000046,U00000004,2026-02-28 23:22:55,2026-02-28 23:42:33,19.6,3,0,0.00,desktop,ads	
SESS_00000047,U00000004,2026-03-02 19:22:55,2026-03-02 19:29:01,6.1,4,0,0.00,desktop,ads	
SESS_00000048,U00000004,2026-03-05 02:25:59,2026-03-05 02:38:26,12.4,2,0,0.00,desktop,ads	
SESS_00000049,U00000004,2026-03-07 06:27:04,2026-03-07 06:27:04,0.0,1,0,0.00,desktop,ads	
SESS_00000050,U00000005,2026-02-27 23:22:55,2026-02-27 23:31:51,8.9,3,0,0.00,desktop,search	
SESS_00000051,U00000005,2026-03-02 12:22:55,2026-03-02 12:26:17,3.4,2,0,0.00,desktop,search	
SESS_00000052,U00000006,2026-01-06 23:26:10,2026-01-06 23:31:03,4.9,3,0,0.00,desktop,email	
SESS_00000053,U00000006,2026-01-11 01:25:04,2026-01-11 01:51:45,26.7,7,0,0.00,desktop,email	
SESS_00000054,U00000006,2026-01-16 17:25:44,2026-01-16 17:41:40,15.9,4,0,0.00,desktop,email	
SESS_00000055,U00000006,2026-01-23 17:27:39,2026-01-23 17:46:45,19.1,5,0,0.00,tablet,email	
SESS_00000056,U00000006,2026-01-28 02:22:55,2026-01-28 02:45:03,22.1,8,0,0.00,desktop,email	
SESS_00000057,U00000006,2026-01-29 09:22:55,2026-01-29 09:56:18,33.4,7,0,0.00,desktop,email	
SESS_00000058,U00000006,2026-02-01 23:31:52,2026-02-01 23:56:04,24.2,7,0,0.00,desktop,email	
SESS_00000059,U00000006,2026-02-05 20:22:55,2026-02-05 20:41:09,18.2,6,0,0.00,desktop,email	
SESS_00000060,U00000006,2026-02-11 15:24:12,2026-02-11 15:33:30,9.3,3,1,226.86,desktop,email	
SESS_00000061,U00000006,2026-02-17 05:22:55,2026-02-17 05:31:59,9.1,4,0,0.00,desktop,email	
SESS_00000062,U00000006,2026-02-24 00:33:03,2026-02-24 00:45:17,12.2,3,0,0.00,desktop,email	
SESS_00000063,U00000006,2026-02-26 20:25:59,2026-02-26 20:56:00,30.0,8,0,0.00,desktop,search	
SESS_00000064,U00000006,2026-03-03 09:22:55,2026-03-03 09:41:14,18.3,6,1,28.43,desktop,email	
SESS_00000065,U00000007,2026-03-05 06:22:55,2026-03-05 06:35:37,12.7,2,0,0.00,desktop,ads	
SESS_00000066,U00000007,2026-03-06 17:26:09,2026-03-06 17:29:55,3.8,2,0,0.00,desktop,social	
SESS_00000067,U00000007,2026-03-09 00:22:55,2026-03-09 00:23:27,0.5,2,0,0.00,desktop,social	
SESS_00000068,U00000008,2026-03-03 23:22:55,2026-03-03 23:36:50,13.9,3,0,0.00,desktop,ads	
SESS_00000069,U00000008,2026-03-05 18:22:55,2026-03-05 18:28:51,5.9,3,0,0.00,desktop,ads	
SESS_00000070,U00000009,2026-03-01 23:24:18,2026-03-01 23:38:02,13.7,4,0,0.00,mobile,search	
SESS_00000071,U00000010,2026-03-03 23:28:16,2026-03-03 23:28:16,0.0,1,0,0.00,desktop,search	
SESS_00000072,U00000011,2026-03-02 23:34:15,2026-03-02 23:42:50,8.6,3,0,0.00,desktop,email	
SESS_00000073,U00000012,2026-03-01 23:23:28,2026-03-01 23:28:54,5.4,2,0,0.00,mobile,social	
SESS_00000074,U00000012,2026-03-03 17:22:55,2026-03-03 17:35:59,13.1,4,0,0.00,mobile,social	
SESS_00000075,U00000012,2026-03-04 08:23:55,2026-03-04 08:34:51,10.9,6,0,0.00,mobile,social	
SESS_00000076,U00000012,2026-03-07 08:22:55,2026-03-07 08:29:50,6.9,2,0,0.00,mobile,social	
SESS_00000077,U00000013,2026-03-01 23:22:55,2026-03-01 23:55:55,33.0,9,1,101.75,mobile,direct	
SESS_00000078,U00000013,2026-03-02 20:22:55,2026-03-02 21:01:28,38.5,5,0,0.00,mobile,social	
SESS_00000079,U00000013,2026-03-03 03:22:55,2026-03-03 03:59:06,36.2,8,0,0.00,mobile,social	
SESS_00000080,U00000013,2026-03-03 06:24:50,2026-03-03 07:10:12,45.4,13,1,1395.42,mobile,social	
SESS_00000081,U00000013,2026-03-03 21:22:55,2026-03-03 21:36:34,13.7,3,0,0.00,mobile,social	
SESS_00000082,U00000013,2026-03-04 09:26:56,2026-03-04 09:37:09,10.2,5,0,0.00,mobile,social	
SESS_00000083,U00000013,2026-03-04 16:33:58,2026-03-04 16:47:11,13.2,4,0,0.00,mobile,social	
SESS_00000084,U00000013,2026-03-05 14:22:55,2026-03-05 14:35:44,12.8,4,0,0.00,mobile,social	
SESS_00000085,U00000013,2026-03-06 04:22:55,2026-03-06 05:15:29,52.6,7,1,479.86,mobile,social	
SESS_00000086,U00000013,2026-03-06 16:26:16,2026-03-06 17:04:26,38.2,8,0,0.00,mobile,social	
SESS_00000087,U00000013,2026-03-06 19:22:55,2026-03-06 20:14:01,51.1,10,0,0.00,mobile,social	
SESS_00000088,U00000013,2026-03-07 16:22:55,2026-03-07 17:00:38,37.7,6,0,0.00,mobile,social	
SESS_00000089,U00000013,2026-03-08 02:22:55,2026-03-08 02:48:00,25.1,8,0,0.00,mobile,social	
SESS_00000090,U00000013,2026-03-09 01:22:55,2026-03-09 01:52:18,29.4,5,0,0.00,mobile,social	
SESS_00000091,U00000013,2026-03-09 18:22:55,2026-03-09 19:12:55,50.0,13,1,483.72,mobile,social	
SESS_00000092,U00000013,2026-03-10 02:25:24,2026-03-10 02:53:58,28.6,8,1,1395.42,mobile,social	
SESS_00000093,U00000013,2026-03-10 12:22:55,2026-03-10 13:00:43,37.8,7,0,0.00,mobile,social	
SESS_00000094,U00000013,2026-03-11 05:24:29,2026-03-11 06:08:08,43.6,11,0,0.00,mobile,email	
SESS_00000095,U00000013,2026-03-12 05:22:55,2026-03-12 06:00:03,37.1,7,0,0.00,mobile,social	
SESS_00000096,U00000013,2026-03-13 05:26:52,2026-03-13 05:51:49,24.9,8,1,685.12,mobile,social	
SESS_00000097,U00000013,2026-03-13 18:32:40,2026-03-13 18:53:09,20.5,4,1,763.36,mobile,social	
SESS_00000098,U00000013,2026-03-14 11:23:59,2026-03-14 11:50:08,26.1,6,0,0.00,mobile,social	
SESS_00000099,U00000013,2026-03-14 20:24:41,2026-03-14 20:55:07,30.4,7,0,0.00,mobile,social	
SESS_00000100,U00000013,2026-03-15 16:24:38,2026-03-15 16:51:29,26.9,10,0,0.00,mobile,social	
SESS_00000101,U00000013,2026-03-16 03:22:55,2026-03-16 04:12:26,49.5,8,0,0.00,mobile,social	
SESS_00000102,U00000014,2026-02-28 23:38:57,2026-02-28 23:43:39,4.7,2,0,0.00,tablet,email	
SESS_00000103,U00000014,2026-03-01 10:27:17,2026-03-01 11:10:52,43.6,9,1,91.84,mobile,email	
SESS_00000104,U00000014,2026-03-01 13:22:55,2026-03-01 13:58:34,35.6,9,1,54.79,mobile,email	
SESS_00000105,U00000014,2026-03-02 09:22:55,2026-03-02 09:52:47,29.9,7,0,0.00,mobile,email	
SESS_00000106,U00000014,2026-03-02 15:31:45,2026-03-02 15:57:43,26.0,5,1,53.73,mobile,email	
SESS_00000107,U00000014,2026-03-03 08:22:55,2026-03-03 08:48:04,25.1,8,1,78.86,mobile,email	
SESS_00000108,U00000014,2026-03-03 18:27:51,2026-03-03 19:08:48,41.0,9,1,41.93,mobile,email	
SESS_00000109,U00000014,2026-03-03 23:26:41,2026-03-03 23:56:51,30.2,5,0,0.00,mobile,email	
SESS_00000110,U00000014,2026-03-04 00:02:32,2026-03-04 00:12:06,9.6,4,1,238.60,mobile,email	
SESS_00000111,U00000014,2026-03-04 13:26:14,2026-03-04 13:46:50,20.6,6,1,1289.58,mobile,email	
SESS_00000112,U00000014,2026-03-05 13:22:55,2026-03-05 14:05:46,42.9,8,0,0.00,tablet,email	
SESS_00000113,U00000014,2026-03-06 08:26:52,2026-03-06 08:55:45,28.9,9,0,0.00,mobile,email	
SESS_00000114,U00000014,2026-03-07 00:22:55,2026-03-07 00:47:47,24.9,6,0,0.00,mobile,email	
SESS_00000115,U00000014,2026-03-08 00:33:21,2026-03-08 00:53:38,20.3,6,0,0.00,mobile,email	
SESS_00000116,U00000014,2026-03-08 19:23:19,2026-03-08 19:39:50,16.5,4,0,0.00,mobile,email	
SESS_00000117,U00000014,2026-03-09 03:31:47,2026-03-09 03:46:05,14.3,7,1,336.79,mobile,email	
SESS_00000118,U00000014,2026-03-09 19:22:55,2026-03-09 19:56:56,34.0,8,0,0.00,mobile,email	
SESS_00000119,U00000014,2026-03-10 16:25:28,2026-03-10 16:50:51,25.4,5,0,0.00,mobile,email	
SESS_00000120,U00000014,2026-03-10 19:22:55,2026-03-10 19:49:45,26.8,10,1,741.84,mobile,email	
SESS_00000121,U00000014,2026-03-11 07:22:55,2026-03-11 08:02:10,39.2,7,0,0.00,mobile,email	
SESS_00000122,U00000015,2025-12-28 23:22:55,2025-12-28 23:54:18,31.4,8,0,0.00,desktop,email	
SESS_00000123,U00000015,2025-12-31 12:22:55,2025-12-31 12:52:03,29.1,8,0,0.00,desktop,email	
SESS_00000124,U00000015,2026-01-05 22:31:05,2026-01-05 22:42:52,11.8,2,0,0.00,desktop,email	
SESS_00000125,U00000015,2026-01-07 04:25:37,2026-01-07 04:41:20,15.7,6,0,0.00,desktop,email	
SESS_00000126,U00000015,2026-01-08 23:27:48,2026-01-08 23:39:23,11.6,6,0,0.00,desktop,email	
SESS_00000127,U00000015,2026-01-15 13:22:55,2026-01-15 13:36:29,13.6,3,0,0.00,desktop,email	
